P,E,Q
0.058620691,5.632758621,0.135062194
2.170689648,5.601724138,0.157039358
3.153448298,5.856896552,0.166393563
4.275862044,6.289655172,0.13890472
0.146551724,6.279310345,0.088882329
0.858620689,6.413793103,0.114615085
1.022413802,5.981034483,0.099905686
0.051724139,5.962068966,0.106112843
1.912068984,5.927586207,0.072069103
0.70862069,5.724137931,0.092603147
0.344827594,6.353448276,0.165628535
0.005172414,6.348275862,0.147580832
0.14827586,6.029310345,0.089595196
2.325862062,6.177586207,0.08031054
2.868965533,5.577586207,0.08031054
6.631034516,6.613793103,0.076902688
0.556896535,4.875862069,0.076902688
4.20689649,5.631034483,0.079023902
3.13965516,5.462068966,0.079023902
11.34482753,5.179310345,0.08192753
11.925862,4.413793103,0.076624496
10.79310347,4.529310345,0.086691568
0.215517244,3.894827586,0.086691568
0.120689657,4.227586207,0.086691568
0.18965517,5.003448276,0.095332905
1.241379319,4.936206897,0.113050255
4.124137933,4.625862069,0.122369686
7.348275868,4.962068966,0.122369686
12.59310348,4.162068966,0.122369686
6.806896592,3.781034483,0.139339395
7.686206948,4.227586207,0.148119829
24.52586197,4.927586207,0.15749142
3.108620687,3.734482759,0.185293228
3.81724139,4.717241379,0.30954071
0.215517241,4.467241379,0.656115724
0,5.144827586,0.818858017
0,5.460344828,0.979096582
0,5.675862069,0.979096582
0.07586207,5.45862069,0.846468568
0.118965516,5.336206897,0.702765037
0.349999998,5.289655172,0.489478743
0.258620691,4.746551724,0.428363448
1.491379313,5.144827586,0.380253627
3.199999984,5.45862069,0.307680301
12.25517243,5.467241379,0.234272399
3.768965517,4.068965517,0.217859074
12.13965516,3.993103448,0.203427866
6.48620692,3.577586207,0.201202331
5.267241408,3.975862069,0.204279829
1.458620701,4.556896552,0.211478046
2.975862084,4.777586207,0.217737365
10.77586203,4.356896552,0.396319212
8.915517266,4.105172414,0.920293758
27.55517238,3.982758621,1.04193319
50.76724136,2.639655172,1.291975596
32.26034492,2.537931034,4.71848328
4.153448272,3.813793103,4.572519439
4.97241383,4.110344828,2.482654547
7.044827576,4.498275862,4.897882316
11.75517243,3.798275862,5.187636624
6.327586228,3.317241379,4.478855685
5.122413786,4.205172414,3.246256685
13.587931,4.081034483,3.326706321
10.14482751,3.467241379,4.080015358
12.25689664,3.601724138,3.745385213
8.182758651,3.882758621,3.285638235
4.19310342,4.162068966,2.961057771
1.279310342,4.136206897,2.689907551
6.353448283,4.136206897,2.648735142
6.374137879,4.032758621,2.180659793
2.531034491,3.967241379,1.893131021
2.496551738,4.212068966,1.605115414
8.855172458,4.30862069,1.473443685
31.60517238,3.894827586,1.296635311
18.74655164,3.039655172,1.870406216
3.679310364,3.862068966,3.071899878
11.44655176,4.012068966,3.333400316
14.2637931,4.024137931,3.370782359
51.80172379,2.867241379,3.881855752
47.35,2.494827586,6.816050613
14.53103449,2.787931034,7.722573871
3.579310348,3.648275862,7.414824021
14.48793099,3.767241379,8.262457519
10.50172419,3.646551724,7.009411409
27.17586215,3.537931034,7.198321133
25.54137933,3.056896552,8.814790257
12.84655179,3.012068966,9.697806292
6.565517264,3.193103448,8.893709835
17.22241384,3.581034483,7.938920275
24.04482757,3.781034483,7.502419713
3.560344849,3.529310345,8.279792354
3.929310355,4.09137931,7.622737732
3.731034504,3.763793103,7.041177452
21.17241378,3.717241379,6.082597526
25.44827581,3.306896552,5.190036029
7.85862071,3.137931034,7.330045023
0.117241378,3.439655172,8.534703118
1.010344834,3.734482759,7.45385783
